Measurement_Id,Route_Id,Direction,Date,Day_Of_Week,Measurement_Time
46,1,B,2025-07-01,Tuesday,00:40
47,2,B,2025-07-01,Tuesday,00:40
48,3,B,2025-07-01,Tuesday,00:40
49,4,B,2025-07-01,Tuesday,00:40
50,5,B,2025-07-01,Tuesday,00:40
51,1,A,2025-07-01,Tuesday,00:50
52,2,A,2025-07-01,Tuesday,00:50
53,3,A,2025-07-01,Tuesday,00:50
54,4,A,2025-07-01,Tuesday,00:50
55,5,A,2025-07-01,Tuesday,00:50
56,1,B,2025-07-01,Tuesday,00:50
57,2,B,2025-07-01,Tuesday,00:50
58,3,B,2025-07-01,Tuesday,00:50
59,4,B,2025-07-01,Tuesday,00:50
60,5,B,2025-07-01,Tuesday,00:50
61,1,A,2025-07-01,Tuesday,01:00
62,2,A,2025-07-01,Tuesday,01:00
63,3,A,2025-07-01,Tuesday,01:00
64,4,A,2025-07-01,Tuesday,01:00
65,5,A,2025-07-01,Tuesday,01:00
66,1,B,2025-07-01,Tuesday,01:00
67,2,B,2025-07-01,Tuesday,01:00
68,3,B,2025-07-01,Tuesday,01:00
69,4,B,2025-07-01,Tuesday,01:00
70,5,B,2025-07-01,Tuesday,01:00
71,1,A,2025-07-01,Tuesday,01:10
72,2,A,2025-07-01,Tuesday,01:10
73,3,A,2025-07-01,Tuesday,01:10
74,4,A,2025-07-01,Tuesday,01:10
75,5,A,2025-07-01,Tuesday,01:10
76,1,B,2025-07-01,Tuesday,01:10
77,2,B,2025-07-01,Tuesday,01:10
78,3,B,2025-07-01,Tuesday,01:10
79,4,B,2025-07-01,Tuesday,01:10
80,5,B,2025-07-01,Tuesday,01:10
81,1,A,2025-07-01,Tuesday,01:20
82,2,A,2025-07-01,Tuesday,01:20
83,3,A,2025-07-01,Tuesday,01:20
84,4,A,2025-07-01,Tuesday,01:20
85,5,A,2025-07-01,Tuesday,01:20
86,1,B,2025-07-01,Tuesday,01:20
87,2,B,2025-07-01,Tuesday,01:20
88,3,B,2025-07-01,Tuesday,01:20
89,4,B,2025-07-01,Tuesday,01:20
90,5,B,2025-07-01,Tuesday,01:20
91,1,A,2025-07-01,Tuesday,01:30
92,2,A,2025-07-01,Tuesday,01:30
93,3,A,2025-07-01,Tuesday,01:30
94,4,A,2025-07-01,Tuesday,01:30
95,5,A,2025-07-01,Tuesday,01:30
96,1,B,2025-07-01,Tuesday,01:30
97,2,B,2025-07-01,Tuesday,01:30
98,3,B,2025-07-01,Tuesday,01:30
99,4,B,2025-07-01,Tuesday,01:30
100,5,B,2025-07-01,Tuesday,01:30
101,1,A,2025-07-01,Tuesday,01:40
102,2,A,2025-07-01,Tuesday,01:40
103,3,A,2025-07-01,Tuesday,01:40
104,4,A,2025-07-01,Tuesday,01:40
105,5,A,2025-07-01,Tuesday,01:40
106,1,B,2025-07-01,Tuesday,01:40
107,2,B,2025-07-01,Tuesday,01:40
108,3,B,2025-07-01,Tuesday,01:40
109,4,B,2025-07-01,Tuesday,01:40
110,5,B,2025-07-01,Tuesday,01:40
111,1,A,2025-07-01,Tuesday,01:50
112,2,A,2025-07-01,Tuesday,01:50
113,3,A,2025-07-01,Tuesday,01:50
114,4,A,2025-07-01,Tuesday,01:50
115,5,A,2025-07-01,Tuesday,01:50
116,1,B,2025-07-01,Tuesday,01:50
117,2,B,2025-07-01,Tuesday,01:50
118,3,B,2025-07-01,Tuesday,01:50
119,4,B,2025-07-01,Tuesday,01:50
120,5,B,2025-07-01,Tuesday,01:50
121,1,A,2025-07-01,Tuesday,02:00
122,2,A,2025-07-01,Tuesday,02:00
123,3,A,2025-07-01,Tuesday,02:00
124,4,A,2025-07-01,Tuesday,02:00
125,5,A,2025-07-01,Tuesday,02:00
126,1,B,2025-07-01,Tuesday,02:00
127,2,B,2025-07-01,Tuesday,02:00
128,3,B,2025-07-01,Tuesday,02:00
129,4,B,2025-07-01,Tuesday,02:00
130,5,B,2025-07-01,Tuesday,02:00
131,1,A,2025-07-01,Tuesday,02:10
132,2,A,2025-07-01,Tuesday,02:10
133,3,A,2025-07-01,Tuesday,02:10
134,4,A,2025-07-01,Tuesday,02:10
135,5,A,2025-07-01,Tuesday,02:10
136,1,B,2025-07-01,Tuesday,02:10
137,2,B,2025-07-01,Tuesday,02:10
138,3,B,2025-07-01,Tuesday,02:10
139,4,B,2025-07-01,Tuesday,02:10
140,5,B,2025-07-01,Tuesday,02:10
141,1,A,2025-07-01,Tuesday,02:20
142,2,A,2025-07-01,Tuesday,02:20
143,3,A,2025-07-01,Tuesday,02:20
144,4,A,2025-07-01,Tuesday,02:20
145,5,A,2025-07-01,Tuesday,02:20
146,1,B,2025-07-01,Tuesday,02:20
147,2,B,2025-07-01,Tuesday,02:20
148,3,B,2025-07-01,Tuesday,02:20
149,4,B,2025-07-01,Tuesday,02:20
150,5,B,2025-07-01,Tuesday,02:20
151,1,A,2025-07-01,Tuesday,02:30
152,2,A,2025-07-01,Tuesday,02:30
153,3,A,2025-07-01,Tuesday,02:30
154,4,A,2025-07-01,Tuesday,02:30
155,5,A,2025-07-01,Tuesday,02:30
156,1,B,2025-07-01,Tuesday,02:30
157,2,B,2025-07-01,Tuesday,02:30
158,3,B,2025-07-01,Tuesday,02:30
159,4,B,2025-07-01,Tuesday,02:30
160,5,B,2025-07-01,Tuesday,02:30
161,1,A,2025-07-01,Tuesday,02:40
162,2,A,2025-07-01,Tuesday,02:40
163,3,A,2025-07-01,Tuesday,02:40
164,4,A,2025-07-01,Tuesday,02:40
165,5,A,2025-07-01,Tuesday,02:40
166,1,B,2025-07-01,Tuesday,02:40
167,2,B,2025-07-01,Tuesday,02:40
168,3,B,2025-07-01,Tuesday,02:40
169,4,B,2025-07-01,Tuesday,02:40
170,5,B,2025-07-01,Tuesday,02:40
171,1,A,2025-07-01,Tuesday,02:50
172,2,A,2025-07-01,Tuesday,02:50
173,3,A,2025-07-01,Tuesday,02:50
174,4,A,2025-07-01,Tuesday,02:50
175,5,A,2025-07-01,Tuesday,02:50
176,1,B,2025-07-01,Tuesday,02:50
177,2,B,2025-07-01,Tuesday,02:50
178,3,B,2025-07-01,Tuesday,02:50
179,4,B,2025-07-01,Tuesday,02:50
180,5,B,2025-07-01,Tuesday,02:50
181,1,A,2025-07-01,Tuesday,03:00
182,2,A,2025-07-01,Tuesday,03:00
183,3,A,2025-07-01,Tuesday,03:00
184,4,A,2025-07-01,Tuesday,03:00
185,5,A,2025-07-01,Tuesday,03:00
186,1,B,2025-07-01,Tuesday,03:00
187,2,B,2025-07-01,Tuesday,03:00
188,3,B,2025-07-01,Tuesday,03:00
189,4,B,2025-07-01,Tuesday,03:00
190,5,B,2025-07-01,Tuesday,03:00
191,1,A,2025-07-01,Tuesday,03:10
192,2,A,2025-07-01,Tuesday,03:10
193,3,A,2025-07-01,Tuesday,03:10
194,4,A,2025-07-01,Tuesday,03:10
195,5,A,2025-07-01,Tuesday,03:10
196,1,B,2025-07-01,Tuesday,03:10
197,2,B,2025-07-01,Tuesday,03:10
198,3,B,2025-07-01,Tuesday,03:10
199,4,B,2025-07-01,Tuesday,03:10
200,5,B,2025-07-01,Tuesday,03:10
201,1,A,2025-07-01,Tuesday,03:20
202,2,A,2025-07-01,Tuesday,03:20
203,3,A,2025-07-01,Tuesday,03:20
204,4,A,2025-07-01,Tuesday,03:20
205,5,A,2025-07-01,Tuesday,03:20
206,1,B,2025-07-01,Tuesday,03:20
207,2,B,2025-07-01,Tuesday,03:20
208,3,B,2025-07-01,Tuesday,03:20
209,4,B,2025-07-01,Tuesday,03:20
210,5,B,2025-07-01,Tuesday,03:20
211,1,A,2025-07-01,Tuesday,03:30
212,2,A,2025-07-01,Tuesday,03:30
213,3,A,2025-07-01,Tuesday,03:30
214,4,A,2025-07-01,Tuesday,03:30
215,5,A,2025-07-01,Tuesday,03:30
216,1,B,2025-07-01,Tuesday,03:30
217,2,B,2025-07-01,Tuesday,03:30
218,3,B,2025-07-01,Tuesday,03:30
219,4,B,2025-07-01,Tuesday,03:30
220,5,B,2025-07-01,Tuesday,03:30
221,1,A,2025-07-01,Tuesday,03:40
222,2,A,2025-07-01,Tuesday,03:40
223,3,A,2025-07-01,Tuesday,03:40
224,4,A,2025-07-01,Tuesday,03:40
225,5,A,2025-07-01,Tuesday,03:40
226,1,B,2025-07-01,Tuesday,03:40
227,2,B,2025-07-01,Tuesday,03:40
228,3,B,2025-07-01,Tuesday,03:40
229,4,B,2025-07-01,Tuesday,03:40
230,5,B,2025-07-01,Tuesday,03:40
231,1,A,2025-07-01,Tuesday,03:50
232,2,A,2025-07-01,Tuesday,03:50
233,3,A,2025-07-01,Tuesday,03:50
234,4,A,2025-07-01,Tuesday,03:50
235,5,A,2025-07-01,Tuesday,03:50
236,1,B,2025-07-01,Tuesday,03:50
237,2,B,2025-07-01,Tuesday,03:50
238,3,B,2025-07-01,Tuesday,03:50
239,4,B,2025-07-01,Tuesday,03:50
240,5,B,2025-07-01,Tuesday,03:50
241,1,A,2025-07-01,Tuesday,04:00
242,2,A,2025-07-01,Tuesday,04:00
243,3,A,2025-07-01,Tuesday,04:00
244,4,A,2025-07-01,Tuesday,04:00
245,5,A,2025-07-01,Tuesday,04:00
246,1,B,2025-07-01,Tuesday,04:00
247,2,B,2025-07-01,Tuesday,04:00
248,3,B,2025-07-01,Tuesday,04:00
249,4,B,2025-07-01,Tuesday,04:00
250,5,B,2025-07-01,Tuesday,04:00
251,1,A,2025-07-01,Tuesday,04:10
252,2,A,2025-07-01,Tuesday,04:10
253,3,A,2025-07-01,Tuesday,04:10
254,4,A,2025-07-01,Tuesday,04:10
255,5,A,2025-07-01,Tuesday,04:10
256,1,B,2025-07-01,Tuesday,04:10
257,2,B,2025-07-01,Tuesday,04:10
258,3,B,2025-07-01,Tuesday,04:10
259,4,B,2025-07-01,Tuesday,04:10
260,5,B,2025-07-01,Tuesday,04:10
261,1,A,2025-07-01,Tuesday,04:20
262,2,A,2025-07-01,Tuesday,04:20
263,3,A,2025-07-01,Tuesday,04:20
264,4,A,2025-07-01,Tuesday,04:20
265,5,A,2025-07-01,Tuesday,04:20
266,1,B,2025-07-01,Tuesday,04:20
267,2,B,2025-07-01,Tuesday,04:20
268,3,B,2025-07-01,Tuesday,04:20
269,4,B,2025-07-01,Tuesday,04:20
270,5,B,2025-07-01,Tuesday,04:20
271,1,A,2025-07-01,Tuesday,04:30
272,2,A,2025-07-01,Tuesday,04:30
273,3,A,2025-07-01,Tuesday,04:30
274,4,A,2025-07-01,Tuesday,04:30
275,5,A,2025-07-01,Tuesday,04:30
276,1,B,2025-07-01,Tuesday,04:30
277,2,B,2025-07-01,Tuesday,04:30
278,3,B,2025-07-01,Tuesday,04:30
279,4,B,2025-07-01,Tuesday,04:30
280,5,B,2025-07-01,Tuesday,04:30
281,1,A,2025-07-01,Tuesday,04:40
282,2,A,2025-07-01,Tuesday,04:40
283,3,A,2025-07-01,Tuesday,04:40
284,4,A,2025-07-01,Tuesday,04:40
285,5,A,2025-07-01,Tuesday,04:40
286,1,B,2025-07-01,Tuesday,04:40
287,2,B,2025-07-01,Tuesday,04:40
288,3,B,2025-07-01,Tuesday,04:40
289,4,B,2025-07-01,Tuesday,04:40
290,5,B,2025-07-01,Tuesday,04:40
291,1,A,2025-07-01,Tuesday,04:50
292,2,A,2025-07-01,Tuesday,04:50
293,3,A,2025-07-01,Tuesday,04:50
294,4,A,2025-07-01,Tuesday,04:50
295,5,A,2025-07-01,Tuesday,04:50
296,1,B,2025-07-01,Tuesday,04:50
297,2,B,2025-07-01,Tuesday,04:50
298,3,B,2025-07-01,Tuesday,04:50
299,4,B,2025-07-01,Tuesday,04:50
300,5,B,2025-07-01,Tuesday,04:50
301,1,A,2025-07-01,Tuesday,05:00
302,2,A,2025-07-01,Tuesday,05:00
303,3,A,2025-07-01,Tuesday,05:00
304,4,A,2025-07-01,Tuesday,05:00
305,5,A,2025-07-01,Tuesday,05:00
306,1,B,2025-07-01,Tuesday,05:00
307,2,B,2025-07-01,Tuesday,05:00
308,3,B,2025-07-01,Tuesday,05:00
309,4,B,2025-07-01,Tuesday,05:00
310,5,B,2025-07-01,Tuesday,05:00
311,1,A,2025-07-01,Tuesday,05:10
312,2,A,2025-07-01,Tuesday,05:10
313,3,A,2025-07-01,Tuesday,05:10
314,4,A,2025-07-01,Tuesday,05:10
315,5,A,2025-07-01,Tuesday,05:10
316,1,B,2025-07-01,Tuesday,05:10
317,2,B,2025-07-01,Tuesday,05:10
318,3,B,2025-07-01,Tuesday,05:10
319,4,B,2025-07-01,Tuesday,05:10
320,5,B,2025-07-01,Tuesday,05:10
321,1,A,2025-07-01,Tuesday,05:20
322,2,A,2025-07-01,Tuesday,05:20
323,3,A,2025-07-01,Tuesday,05:20
324,4,A,2025-07-01,Tuesday,05:20
325,5,A,2025-07-01,Tuesday,05:20
326,1,B,2025-07-01,Tuesday,05:20
327,2,B,2025-07-01,Tuesday,05:20
328,3,B,2025-07-01,Tuesday,05:20
329,4,B,2025-07-01,Tuesday,05:20
330,5,B,2025-07-01,Tuesday,05:20
331,1,A,2025-07-01,Tuesday,05:30
332,2,A,2025-07-01,Tuesday,05:30
333,3,A,2025-07-01,Tuesday,05:30
334,4,A,2025-07-01,Tuesday,05:30
335,5,A,2025-07-01,Tuesday,05:30
336,1,B,2025-07-01,Tuesday,05:30
337,2,B,2025-07-01,Tuesday,05:30
338,3,B,2025-07-01,Tuesday,05:30
339,4,B,2025-07-01,Tuesday,05:30
340,5,B,2025-07-01,Tuesday,05:30
341,1,A,2025-07-01,Tuesday,05:40
342,2,A,2025-07-01,Tuesday,05:40
343,3,A,2025-07-01,Tuesday,05:40
344,4,A,2025-07-01,Tuesday,05:40
345,5,A,2025-07-01,Tuesday,05:40
346,1,B,2025-07-01,Tuesday,05:40
347,2,B,2025-07-01,Tuesday,05:40
348,3,B,2025-07-01,Tuesday,05:40
349,4,B,2025-07-01,Tuesday,05:40
350,5,B,2025-07-01,Tuesday,05:40
351,1,A,2025-07-01,Tuesday,05:50
352,2,A,2025-07-01,Tuesday,05:50
353,3,A,2025-07-01,Tuesday,05:50
354,4,A,2025-07-01,Tuesday,05:50
355,5,A,2025-07-01,Tuesday,05:50
356,1,B,2025-07-01,Tuesday,05:50
357,2,B,2025-07-01,Tuesday,05:50
358,3,B,2025-07-01,Tuesday,05:50
359,4,B,2025-07-01,Tuesday,05:50
360,5,B,2025-07-01,Tuesday,05:50
361,1,A,2025-07-01,Tuesday,06:00
362,2,A,2025-07-01,Tuesday,06:00
363,3,A,2025-07-01,Tuesday,06:00
364,4,A,2025-07-01,Tuesday,06:00
365,5,A,2025-07-01,Tuesday,06:00
366,1,B,2025-07-01,Tuesday,06:00
367,2,B,2025-07-01,Tuesday,06:00
368,3,B,2025-07-01,Tuesday,06:00
369,4,B,2025-07-01,Tuesday,06:00
370,5,B,2025-07-01,Tuesday,06:00
371,1,A,2025-07-01,Tuesday,06:10
372,2,A,2025-07-01,Tuesday,06:10
373,3,A,2025-07-01,Tuesday,06:10
374,4,A,2025-07-01,Tuesday,06:10
375,5,A,2025-07-01,Tuesday,06:10
376,1,B,2025-07-01,Tuesday,06:10
377,2,B,2025-07-01,Tuesday,06:10
378,3,B,2025-07-01,Tuesday,06:10
379,4,B,2025-07-01,Tuesday,06:10
380,5,B,2025-07-01,Tuesday,06:10
381,1,A,2025-07-01,Tuesday,06:20
382,2,A,2025-07-01,Tuesday,06:20
383,3,A,2025-07-01,Tuesday,06:20
384,4,A,2025-07-01,Tuesday,06:20
385,5,A,2025-07-01,Tuesday,06:20
386,1,B,2025-07-01,Tuesday,06:20
387,2,B,2025-07-01,Tuesday,06:20
388,3,B,2025-07-01,Tuesday,06:20
389,4,B,2025-07-01,Tuesday,06:20
390,5,B,2025-07-01,Tuesday,06:20
391,1,A,2025-07-01,Tuesday,06:30
392,2,A,2025-07-01,Tuesday,06:30
393,3,A,2025-07-01,Tuesday,06:30
394,4,A,2025-07-01,Tuesday,06:30
395,5,A,2025-07-01,Tuesday,06:30
396,1,B,2025-07-01,Tuesday,06:30
397,2,B,2025-07-01,Tuesday,06:30
398,3,B,2025-07-01,Tuesday,06:30
399,4,B,2025-07-01,Tuesday,06:30
400,5,B,2025-07-01,Tuesday,06:30
401,1,A,2025-07-01,Tuesday,06:40
402,2,A,2025-07-01,Tuesday,06:40
403,3,A,2025-07-01,Tuesday,06:40
404,4,A,2025-07-01,Tuesday,06:40
405,5,A,2025-07-01,Tuesday,06:40
406,1,B,2025-07-01,Tuesday,06:40
407,2,B,2025-07-01,Tuesday,06:40
408,3,B,2025-07-01,Tuesday,06:40
409,4,B,2025-07-01,Tuesday,06:40
410,5,B,2025-07-01,Tuesday,06:40
411,1,A,2025-07-01,Tuesday,06:50
412,2,A,2025-07-01,Tuesday,06:50
413,3,A,2025-07-01,Tuesday,06:50
414,4,A,2025-07-01,Tuesday,06:50
415,5,A,2025-07-01,Tuesday,06:50
416,1,B,2025-07-01,Tuesday,06:50
417,2,B,2025-07-01,Tuesday,06:50
418,3,B,2025-07-01,Tuesday,06:50
419,4,B,2025-07-01,Tuesday,06:50
420,5,B,2025-07-01,Tuesday,06:50
421,1,A,2025-07-01,Tuesday,07:00
422,2,A,2025-07-01,Tuesday,07:00
423,3,A,2025-07-01,Tuesday,07:00
424,4,A,2025-07-01,Tuesday,07:00
425,5,A,2025-07-01,Tuesday,07:00
426,1,B,2025-07-01,Tuesday,07:00
427,2,B,2025-07-01,Tuesday,07:00
428,3,B,2025-07-01,Tuesday,07:00
429,4,B,2025-07-01,Tuesday,07:00
430,5,B,2025-07-01,Tuesday,07:00
431,1,A,2025-07-01,Tuesday,07:10
432,2,A,2025-07-01,Tuesday,07:10
433,3,A,2025-07-01,Tuesday,07:10
434,4,A,2025-07-01,Tuesday,07:10
435,5,A,2025-07-01,Tuesday,07:10
436,1,B,2025-07-01,Tuesday,07:10
437,2,B,2025-07-01,Tuesday,07:10
438,3,B,2025-07-01,Tuesday,07:10
439,4,B,2025-07-01,Tuesday,07:10
440,5,B,2025-07-01,Tuesday,07:10
441,1,A,2025-07-01,Tuesday,07:20
442,2,A,2025-07-01,Tuesday,07:20
443,3,A,2025-07-01,Tuesday,07:20
444,4,A,2025-07-01,Tuesday,07:20
445,5,A,2025-07-01,Tuesday,07:20
446,1,B,2025-07-01,Tuesday,07:20
447,2,B,2025-07-01,Tuesday,07:20
448,3,B,2025-07-01,Tuesday,07:20
449,4,B,2025-07-01,Tuesday,07:20
450,5,B,2025-07-01,Tuesday,07:20
451,1,A,2025-07-01,Tuesday,07:30
452,2,A,2025-07-01,Tuesday,07:30
453,3,A,2025-07-01,Tuesday,07:30
454,4,A,2025-07-01,Tuesday,07:30
455,5,A,2025-07-01,Tuesday,07:30
456,1,B,2025-07-01,Tuesday,07:30
457,2,B,2025-07-01,Tuesday,07:30
458,3,B,2025-07-01,Tuesday,07:30
459,4,B,2025-07-01,Tuesday,07:30
460,5,B,2025-07-01,Tuesday,07:30
461,1,A,2025-07-01,Tuesday,07:40
462,2,A,2025-07-01,Tuesday,07:40
463,3,A,2025-07-01,Tuesday,07:40
464,4,A,2025-07-01,Tuesday,07:40
465,5,A,2025-07-01,Tuesday,07:40
466,1,B,2025-07-01,Tuesday,07:40
467,2,B,2025-07-01,Tuesday,07:40
468,3,B,2025-07-01,Tuesday,07:40
469,4,B,2025-07-01,Tuesday,07:40
470,5,B,2025-07-01,Tuesday,07:40
471,1,A,2025-07-01,Tuesday,07:50
472,2,A,2025-07-01,Tuesday,07:50
473,3,A,2025-07-01,Tuesday,07:50
474,4,A,2025-07-01,Tuesday,07:50
475,5,A,2025-07-01,Tuesday,07:50
476,1,B,2025-07-01,Tuesday,07:50
477,2,B,2025-07-01,Tuesday,07:50
478,3,B,2025-07-01,Tuesday,07:50
479,4,B,2025-07-01,Tuesday,07:50
480,5,B,2025-07-01,Tuesday,07:50
481,1,A,2025-07-01,Tuesday,08:00
482,2,A,2025-07-01,Tuesday,08:00
483,3,A,2025-07-01,Tuesday,08:00
484,4,A,2025-07-01,Tuesday,08:00
485,5,A,2025-07-01,Tuesday,08:00
486,1,B,2025-07-01,Tuesday,08:00
487,2,B,2025-07-01,Tuesday,08:00
488,3,B,2025-07-01,Tuesday,08:00
489,4,B,2025-07-01,Tuesday,08:00
490,5,B,2025-07-01,Tuesday,08:00
491,1,A,2025-07-01,Tuesday,08:10
492,2,A,2025-07-01,Tuesday,08:10
493,3,A,2025-07-01,Tuesday,08:10
494,4,A,2025-07-01,Tuesday,08:10
495,5,A,2025-07-01,Tuesday,08:10
496,1,B,2025-07-01,Tuesday,08:10
497,2,B,2025-07-01,Tuesday,08:10
498,3,B,2025-07-01,Tuesday,08:10
499,4,B,2025-07-01,Tuesday,08:10
500,5,B,2025-07-01,Tuesday,08:10
501,1,A,2025-07-01,Tuesday,08:20
502,2,A,2025-07-01,Tuesday,08:20
503,3,A,2025-07-01,Tuesday,08:20
504,4,A,2025-07-01,Tuesday,08:20
505,5,A,2025-07-01,Tuesday,08:20
506,1,B,2025-07-01,Tuesday,08:20
507,2,B,2025-07-01,Tuesday,08:20
508,3,B,2025-07-01,Tuesday,08:20
509,4,B,2025-07-01,Tuesday,08:20
510,5,B,2025-07-01,Tuesday,08:20
511,1,A,2025-07-01,Tuesday,08:30
512,2,A,2025-07-01,Tuesday,08:30
513,3,A,2025-07-01,Tuesday,08:30
514,4,A,2025-07-01,Tuesday,08:30
515,5,A,2025-07-01,Tuesday,08:30
516,1,B,2025-07-01,Tuesday,08:30
517,2,B,2025-07-01,Tuesday,08:30
518,3,B,2025-07-01,Tuesday,08:30
519,4,B,2025-07-01,Tuesday,08:30
520,5,B,2025-07-01,Tuesday,08:30
521,1,A,2025-07-01,Tuesday,08:40
522,2,A,2025-07-01,Tuesday,08:40
523,3,A,2025-07-01,Tuesday,08:40
524,4,A,2025-07-01,Tuesday,08:40
525,5,A,2025-07-01,Tuesday,08:40
526,1,B,2025-07-01,Tuesday,08:40
527,2,B,2025-07-01,Tuesday,08:40
528,3,B,2025-07-01,Tuesday,08:40
529,4,B,2025-07-01,Tuesday,08:40
530,5,B,2025-07-01,Tuesday,08:40
531,1,A,2025-07-01,Tuesday,08:50
532,2,A,2025-07-01,Tuesday,08:50
533,3,A,2025-07-01,Tuesday,08:50
534,4,A,2025-07-01,Tuesday,08:50
535,5,A,2025-07-01,Tuesday,08:50
536,1,B,2025-07-01,Tuesday,08:50
537,2,B,2025-07-01,Tuesday,08:50
538,3,B,2025-07-01,Tuesday,08:50
539,4,B,2025-07-01,Tuesday,08:50
540,5,B,2025-07-01,Tuesday,08:50
541,1,A,2025-07-01,Tuesday,09:00
542,2,A,2025-07-01,Tuesday,09:00
543,3,A,2025-07-01,Tuesday,09:00
544,4,A,2025-07-01,Tuesday,09:00
545,5,A,2025-07-01,Tuesday,09:00
546,1,B,2025-07-01,Tuesday,09:00
547,2,B,2025-07-01,Tuesday,09:00
548,3,B,2025-07-01,Tuesday,09:00
549,4,B,2025-07-01,Tuesday,09:00
550,5,B,2025-07-01,Tuesday,09:00
551,1,A,2025-07-01,Tuesday,09:10
552,2,A,2025-07-01,Tuesday,09:10
553,3,A,2025-07-01,Tuesday,09:10
554,4,A,2025-07-01,Tuesday,09:10
555,5,A,2025-07-01,Tuesday,09:10
556,1,B,2025-07-01,Tuesday,09:10
557,2,B,2025-07-01,Tuesday,09:10
558,3,B,2025-07-01,Tuesday,09:10
559,4,B,2025-07-01,Tuesday,09:10
560,5,B,2025-07-01,Tuesday,09:10
561,1,A,2025-07-01,Tuesday,09:20
562,2,A,2025-07-01,Tuesday,09:20
563,3,A,2025-07-01,Tuesday,09:20
564,4,A,2025-07-01,Tuesday,09:20
565,5,A,2025-07-01,Tuesday,09:20
566,1,B,2025-07-01,Tuesday,09:20
567,2,B,2025-07-01,Tuesday,09:20
568,3,B,2025-07-01,Tuesday,09:20
569,4,B,2025-07-01,Tuesday,09:20
570,5,B,2025-07-01,Tuesday,09:20
571,1,A,2025-07-01,Tuesday,09:30
572,2,A,2025-07-01,Tuesday,09:30
573,3,A,2025-07-01,Tuesday,09:30
574,4,A,2025-07-01,Tuesday,09:30
575,5,A,2025-07-01,Tuesday,09:30
576,1,B,2025-07-01,Tuesday,09:30
577,2,B,2025-07-01,Tuesday,09:30
578,3,B,2025-07-01,Tuesday,09:30
579,4,B,2025-07-01,Tuesday,09:30
580,5,B,2025-07-01,Tuesday,09:30
581,1,A,2025-07-01,Tuesday,09:40
582,2,A,2025-07-01,Tuesday,09:40
583,3,A,2025-07-01,Tuesday,09:40
584,4,A,2025-07-01,Tuesday,09:40
585,5,A,2025-07-01,Tuesday,09:40
586,1,B,2025-07-01,Tuesday,09:40
587,2,B,2025-07-01,Tuesday,09:40
588,3,B,2025-07-01,Tuesday,09:40
589,4,B,2025-07-01,Tuesday,09:40
590,5,B,2025-07-01,Tuesday,09:40
591,1,A,2025-07-01,Tuesday,09:50
592,2,A,2025-07-01,Tuesday,09:50
593,3,A,2025-07-01,Tuesday,09:50
594,4,A,2025-07-01,Tuesday,09:50
595,5,A,2025-07-01,Tuesday,09:50
596,1,B,2025-07-01,Tuesday,09:50
597,2,B,2025-07-01,Tuesday,09:50
598,3,B,2025-07-01,Tuesday,09:50
599,4,B,2025-07-01,Tuesday,09:50
600,5,B,2025-07-01,Tuesday,09:50
601,1,A,2025-07-01,Tuesday,10:00
602,2,A,2025-07-01,Tuesday,10:00
603,3,A,2025-07-01,Tuesday,10:00
604,4,A,2025-07-01,Tuesday,10:00
605,5,A,2025-07-01,Tuesday,10:00
